Reference,Text
John 3:16,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."
Psalm 23,"The Lord is my shepherd; I shall not want. He maketh me to lie down in green pastures: he leadeth me beside the still waters."
Proverbs 3:5-6,"Trust in the Lord with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths."
Isaiah 41:10,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness."
Romans 8:28,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose."
Jeremiah 29:11,"For I know the thoughts that I think toward you, saith the Lord, thoughts of peace, and not of evil, to give you an expected end."
Philippians 4:13,"I can do all things through Christ which strengtheneth me."
Genesis 1:1,"In the beginning God created the heaven and the earth."
Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not seen."
Matthew 6:33,"But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you."
